Team.Name,College,City,State,Category1,Category2,Category3,Known.Repeat,Trophic.Group
Frogs,Hampshire College ,Amherst,MA,Animal,Amphibian,,,carnivore
Horned Frogs,Texas Christian ,Fort Worth,TX,Animal,Amphibian,,,carnivore
Blackbirds,LIU Brooklyn ,Brooklyn,NY,Animal,Bird,Blackbird,,omnivore
Blue Jays,Elizabethtown College ,Elizabethtown,PA,Animal,Bird,Blue Jay,,omnivore
Blue Jays,Johns Hopkins ,Baltimore,MD,Animal,Bird,Blue Jay,,omnivore
Blue Jays,NYU–Poly ,Brooklyn,NY,Animal,Bird,Blue Jay,,omnivore
Blue Jays,University of Saint Joseph ,West Hartford,CT,Animal,Bird,Blue Jay,,omnivore
Blue Jays,Westminster ,Fulton,MO,Animal,Bird,Blue Jay,,omnivore
Bluejays,Creighton ,Omaha,NE,Animal,Bird,Blue Jay,,omnivore
Bluejays,Elmhurst ,Elmhurst,IL,Animal,Bird,Blue Jay,,omnivore
Bluejays,Tabor ,Hillsboro,KS,Animal,Bird,Blue Jay,,omnivore
Cardinals,Ball State ,Muncie,IN,Animal,Bird,Cardinal,,omnivore
Cardinals,Catholic ,Washington D.C.,DC,Animal,Bird,Cardinal,,omnivore
Cardinals,Concordia ,Ann Arbor,MI,Animal,Bird,Cardinal,,omnivore
Cardinals,Gadsden State ,Gadsden,AL,Animal,Bird,Cardinal,,omnivore
Cardinals,Incarnate Word ,San Antonio,TX,Animal,Bird,Cardinal,,omnivore
Cardinals,Lamar ,Beaumont,TX,Animal,Bird,Cardinal,,omnivore
Cardinals,Louisville ,Louisville,KY,Animal,Bird,Cardinal,,omnivore
Cardinals,Massachusetts Pharmacy ,Boston,MA,Animal,Bird,Cardinal,,omnivore
Cardinals,North Central ,Naperville,IL,Animal,Bird,Cardinal,,omnivore
Cardinals,Otterbein ,Westerville,OH,Animal,Bird,Cardinal,,omnivore
Cardinals,Saginaw Valley State ,University Center,MI,Animal,Bird,Cardinal,,omnivore
Cardinals,St. John Fisher ,Rochester,NY,Animal,Bird,Cardinal,,omnivore
Cardinals,St. Mary's ,Winona,MN,Animal,Bird,Cardinal,,omnivore
Cardinals,SUNY Plattsburgh ,Plattsburgh,NY,Animal,Bird,Cardinal,,omnivore
Cardinals,Wesleyan ,Middletown,CT,Animal,Bird,Cardinal,,omnivore
Cardinals,Wheeling Jesuit ,Wheeling,WV,Animal,Bird,Cardinal,,omnivore
Cardinals,William Jewell ,Liberty,MO,Animal,Bird,Cardinal,,omnivore
Cardinals,York College ,Jamaica,NY,Animal,Bird,Cardinal,,omnivore
Redbirds,Illinois State ,Normal,IL,Animal,Bird,Cardinal,,omnivore
Ducks,Oregon ,Eugene,OR,Animal,Bird,Duck or Goose,,omnivore
Ducks,Stevens Tech ,Hoboken,NJ,Animal,Bird,Duck or Goose,,omnivore
